"","Id","Id_Curso","Sexo","asistencia","grades","Repitencia"
"1",312,11,"F",93,5.5,"no"
"2",313,11,"F",84,5.5,"no"
"3",314,11,"F",93,6.4,"no"
"4",315,11,"M",86,6.5,"no"
"5",316,11,"F",97,6,"si, 2°"
"6",317,11,"M",89,6.1,"no"
"7",318,11,"F",98,6.8,"no"
"8",319,11,"M",97,5.9,"no"
"9",325,11,"F",84,5.7,"si, 1°"
"10",326,11,"M",96,5.4,"no"
"11",329,11,"F",80,6.2,"no"
"12",330,11,"F",79,5.8,"no"
"13",333,11,"F",96,6.6,"no"
"14",336,11,"F",96,6.6,"no"
"15",337,11,"F",100,6.4,"no"
"16",430,15,"M",96,6.4,"no"
"17",432,15,"M",81,5.2,"no"
"18",433,15,"M",82,5.7,"no"
"19",434,15,"M",93,6,"no"
"20",435,15,"M",91,5.8,"no"
"21",436,15,"M",81,5.8,"no"
"22",437,15,"M",94,6.3,"no"
"23",438,15,"M",96,6.4,"no"
"24",444,15,"M",91,6.3,"no"
"25",445,15,"M",95,5.9,"no"
"26",448,15,"M",96,6.3,"no"
"27",450,15,"M",92,5.3,"no"
